epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1152.41,0.79619,2.06759,1.3828,0.17856,0.0413,0.00516,0.0041,1.44175,4.83124,1.34527,0.0703797,0.00329114,0.00329114
2,2006.1,0.43863,0.87569,1.03711,0.7013,0.03261,0.01582,0.01421,1.70211,4.87994,1.46544,0.0403733,0.006618,0.006618
3,183.324,0.47007,0.79652,1.04646,0.61343,0.04348,0.00483,0.00316,2.51601,5.16692,2.12804,0.0103409,0.00991894,0.00991894
4,369.762,0.46036,0.74808,1.03835,0.65697,0.04239,0.00937,0.00824,2.79257,5.50418,2.22936,0.00991232,0.00991232,0.00991232
5,573.642,0.43439,0.69952,1.02498,0.26565,0.04239,0.00489,0.00377,2.77462,5.15535,2.19517,0.00984449,0.00984449,0.00984449
6,775.33,0.42231,0.64766,1.02691,0.00631,0.03696,0.01851,0.01684,2.52803,5.10928,2.08422,0.00975773,0.00975773,0.00975773
7,956.366,0.40367,0.5916,1.0079,0.00628,0.03587,0.01178,0.00965,3.08099,5.08428,2.5647,0.00965239,0.00965239,0.00965239
8,1156.67,0.40257,0.56704,1.00713,0.00487,0.03587,0.00768,0.00669,2.78491,5.23022,2.4012,0.00952889,0.00952889,0.00952889
9,1359.91,0.37785,0.52028,0.98864,0.01194,0.02609,0.02162,0.0213,2.74336,4.91259,2.21262,0.00938772,0.00938772,0.00938772
10,1613.58,0.36085,0.50187,0.99066,0.00474,0.04239,0.00834,0.00711,2.92351,5.28752,2.54395,0.00922942,0.00922942,0.00922942
11,1858.79,0.37155,0.48067,0.99338,0.00495,0.04239,0.01692,0.01531,2.99124,5.53224,2.49355,0.00905463,0.00905463,0.00905463
12,2061.37,0.35871,0.44956,0.97784,0.0065,0.03152,0.01654,0.01617,2.67172,5.15408,2.17283,0.00886404,0.00886404,0.00886404
13,2259.69,0.33913,0.42724,0.98022,0.00497,0.04348,0.01225,0.01201,2.69549,5.44013,2.22229,0.00865839,0.00865839,0.00865839
14,2460.1,0.32146,0.38606,0.96143,0.00496,0.04348,0.02734,0.02726,2.90173,5.73306,2.54487,0.00843851,0.00843851,0.00843851
15,2708.37,0.31807,0.36876,0.96438,0.00484,0.04348,0.00818,0.00818,2.89703,5.67729,2.43497,0.00820525,0.00820525,0.00820525
16,2892.78,0.31014,0.36147,0.95488,0.00486,0.04348,0.00497,0.00491,2.86408,5.70886,2.38392,0.00795954,0.00795954,0.00795954
17,3076.94,0.30293,0.34708,0.95693,0.00486,0.04348,0.00753,0.00731,3.0461,5.83627,2.42642,0.00770234,0.00770234,0.00770234
18,3261.39,0.29911,0.33742,0.95779,0.01125,0.03804,0.028,0.02675,2.98756,5.60166,2.47891,0.00743468,0.00743468,0.00743468
19,3507.05,0.29772,0.3209,0.95817,0.0051,0.04348,0.02647,0.02645,2.85546,5.82213,2.34091,0.00715761,0.00715761,0.00715761
20,3694.45,0.29403,0.31463,0.95561,0.00535,0.04348,0.0321,0.032,2.89416,5.77206,2.32735,0.00687222,0.00687222,0.00687222
21,3884.3,0.28553,0.30371,0.94276,0.00484,0.04348,0.02277,0.0227,2.88194,5.95703,2.36547,0.00657963,0.00657963,0.00657963
22,4071.41,0.27085,0.28132,0.94274,0.00501,0.04348,0.01191,0.01189,2.94133,5.86435,2.40176,0.00628101,0.00628101,0.00628101
23,4323.41,0.26234,0.27145,0.94292,0.0051,0.04348,0.0244,0.0244,3.04893,5.95995,2.44619,0.00597754,0.00597754,0.00597754
24,4507.48,0.25537,0.26685,0.94431,0.00547,0.04348,0.03507,0.03507,2.933,5.73274,2.33625,0.0056704,0.0056704,0.0056704
25,4860.24,0.24949,0.25458,0.93105,0.00486,0.04348,0.01154,0.01154,3.02552,6.03752,2.43428,0.00536081,0.00536081,0.00536081
26,5046.19,0.25145,0.25952,0.93051,0.00484,0.04348,0.02421,0.0241,2.91967,6.03059,2.30106,0.00505,0.00505,0.00505
27,5231.05,0.25034,0.25241,0.93289,0.00513,0.04348,0.0262,0.0262,3.01317,6.04913,2.41934,0.00473919,0.00473919,0.00473919
28,5417.97,0.23786,0.23917,0.93534,0.00491,0.04348,0.02112,0.02101,2.86535,6.11414,2.26479,0.0044296,0.0044296,0.0044296
29,5767.79,0.22779,0.23431,0.92354,0.00485,0.04348,0.01471,0.01471,2.94702,6.27712,2.34522,0.00412246,0.00412246,0.00412246
30,5952.11,0.22715,0.2306,0.9305,0.00486,0.04348,0.00865,0.00865,3.06546,6.21581,2.45705,0.00381899,0.00381899,0.00381899
31,6130.23,0.22577,0.22327,0.93078,0.00484,0.04348,0.01321,0.01321,3.10317,6.4507,2.4867,0.00352037,0.00352037,0.00352037
32,6313.21,0.21643,0.2184,0.92324,0.00484,0.04348,0.00566,0.00564,3.08266,6.45972,2.47584,0.00322778,0.00322778,0.00322778
33,6500.82,0.21108,0.21205,0.92056,0.00484,0.04348,0.00591,0.00591,3.04795,6.30542,2.46086,0.00294239,0.00294239,0.00294239
34,6685.05,0.20703,0.20177,0.9251,0.00486,0.04348,0.02718,0.02718,3.02396,6.39632,2.39371,0.00266532,0.00266532,0.00266532
35,6869.81,0.19888,0.20076,0.92109,0.00484,0.04348,0.00705,0.00705,3.07145,6.20828,2.42482,0.00239766,0.00239766,0.00239766
